symbol_a,symbol_b,lag,correlation,p_value,stability,n_overlap_days
AAPL,GLD,1,0.033172,0.01520896,0.0486,5355
AAPL,GLD,2,-0.00198,0.88483563,0.0739,5355
AAPL,GLD,3,-0.021935,0.10859281,0.0409,5355
AAPL,GLD,4,-0.028479,0.03723431,0.0525,5355
AAPL,GLD,5,0.018135,0.1847565,0.0467,5355
AAPL,GLD,7,0.002048,0.880993,0.0586,5355
AAPL,GLD,10,0.017895,0.19084067,0.0508,5355
AAPL,GLD,14,0.03563,0.00921063,0.0635,5355
AAPL,GLD,20,-0.027029,0.0483681,0.0537,5355
AAPL,GLD,30,0.022812,0.09602209,0.0508,5355
GLD,AAPL,1,-0.002683,0.84440948,0.0662,5355
GLD,AAPL,2,0.035011,0.01041422,0.0701,5355
GLD,AAPL,3,0.027226,0.04640746,0.0593,5355
GLD,AAPL,4,-0.018247,0.18201511,0.0525,5355
GLD,AAPL,5,-0.000821,0.95214704,0.0466,5355
GLD,AAPL,7,-0.008584,0.53023627,0.0556,5355
GLD,AAPL,10,0.008664,0.52656694,0.0508,5355
GLD,AAPL,14,0.002541,0.85269893,0.0577,5355
GLD,AAPL,20,0.005229,0.70255612,0.0616,5355
GLD,AAPL,30,-0.004275,0.75512945,0.0596,5355
AAPL,GOOGL,1,-0.014719,0.27870566,0.0694,5419
AAPL,GOOGL,2,0.013788,0.31028549,0.0597,5419
AAPL,GOOGL,3,-0.003797,0.77997294,0.0655,5419
AAPL,GOOGL,4,0.002954,0.82795575,0.0549,5419
AAPL,GOOGL,5,0.004152,0.76005676,0.053,5419
AAPL,GOOGL,7,0.01094,0.42103134,0.0559,5419
